Timestamp,AoI
5761.610967571,5307.090188120001
5762.611340274,5307.090391875
5763.611373509,5307.090208082001
5764.611568647,5307.090270249
5765.61222134,5307.090734267001
5766.612060377,5307.090439295999
5767.613189324,5307.090287754
5768.613516133,5307.090488852
5769.613307898,5307.090102147
5770.613499403,5307.090180868
5771.61368633,5307.090262789
5772.613790012,5307.090178947
5773.614059839,5307.090341972
5774.614355125,5307.090437641999
5775.61431874,5307.090255456
5776.614433333,5307.090234693001
5777.614488514,5307.090089407
5778.614811601,5307.090287491
5779.615031331,5307.0903274209995
5780.615093965,5307.090271329999
5781.615185188,5307.090240051
5782.615532334,5307.090395102
5783.615758532,5307.090503779
5784.617783049,5307.092357443
5785.615881433,5307.090346067
5786.616963902,5307.091325165
5787.61619295,5307.090352323001
5788.616108981,5307.090147891
5789.61636625,5307.090234475
5790.616655423,5307.090414538
5791.616643424,5307.090291651
5792.616949405,5307.090420263
5793.617023159,5307.090288148001
5794.617365448,5307.090511365
5795.617303065,5307.090271002
5796.617312605,5307.090169304
5797.624185619,5307.09693758
5798.617604306,5307.090139270001
5799.617848762,5307.090246341
5800.617843863,5307.090050631001
5801.618162998,5307.090243511
5802.618668057,5307.090561723
5803.61938117,5307.091157137001
5804.618758105,5307.090353373
5805.618705633,5307.090179018
5806.618810918,5307.090114531
5807.619024922,5307.090210171
5808.619398924,5307.090442142
5809.619280975,5307.0901530520005
5810.619540396,5307.090299461
5811.619885535,5307.090455904
5812.619833633,5307.090281917
5813.619945358,5307.090212279
5814.620989084,5307.091146365
5815.620270854,5307.090258422
5816.620509515,5307.090379388
5817.620641412,5307.090328812999
5818.62073964,5307.090316365
5819.620702178,5307.0900817090005
5820.622029498,5307.091297298
5821.620994674,5307.090093799
5822.621262575,5307.090237378001
5823.62138562,5307.090235637001
5824.621554737,5307.09021321
5825.62184511,5307.09039365
5826.621847091,5307.090232791
5827.622545941,5307.0908180979995
5828.62206758,5307.090154527
5829.622435497,5307.09040342
5830.622508003,5307.090296865
5831.622669376,5307.090334251
5832.622586263,5307.090078262
5833.625298236,5307.092681323
5834.622960347,5307.090159893
5835.623300172,5307.090378973
5836.623303549,5307.090185143001
5837.623506219,5307.090271494
5838.623569349,5307.090154639
5839.623963534,5307.090433933
5840.623935157,5307.09021572
5841.624290428,5307.090450283999
5842.624104675,5307.090097122
5843.624324643,5307.090202310001
5844.62450609,5307.090208256001
5845.624779571,5307.090380197999
5846.624062342,5307.089477894
5847.625948084,5307.091242709
5848.627077265,5307.092194555999
5849.625343355,5307.090341813
5850.625359729,5307.090173983
5851.625706842,5307.090404226
5852.625814044,5307.090330484
5853.625729686,5307.090133534
5854.626134828,5307.0903698990005
5855.626032595,5307.090154019999
5856.626320305,5307.090303565
5857.628406651,5307.092272485999
5858.62655929,5307.09029735
5859.62668351,5307.090299146
5860.626740616,5307.090238199
5861.626833349,5307.090164472
5862.626991339,5307.090210558
5863.627232512,5307.090292567
5864.627634905,5307.090577186001
5865.627502938,5307.090283131
5866.627680848,5307.090356656
5867.627648367,5307.090165587
5868.627942569,5307.090351145
5869.62868964,5307.090946683999
5870.628128352,5307.090275586001
5871.628629046,5307.090663693
5872.628314957,5307.09018748
5873.629093666,5307.090855417
5874.628562181,5307.090175419
5875.630081593,5307.091582393
5876.631541019,5307.092843955
5877.629076758,5307.090255294001
5878.629165247,5307.090185846
5879.629445586,5307.090345173
5880.62952157,5307.090261368
5881.629678811,5307.0903032470005
5882.629851827,5307.090300956
5883.630172026,5307.090506052
5884.630345,5307.090512942
5885.630233488,5307.090293494
5886.630351808,5307.090259916
5887.632021819,5307.09181688
5888.630604478,5307.090226919
5889.630731458,5307.090245353
5890.630836508,5307.090196061001
5891.631831339,5307.091079291
5892.63115464,5307.090299343
5893.63122372,5307.090271082
5894.631419187,5307.090363558999
5895.631632374,5307.090460109001
5896.631472187,5307.090191211
5897.631601757,5307.0902207
5898.631741603,5307.090268612999
5899.631771742,5307.090201485999
5900.631926676,5307.090237358
5901.63215946,5307.090343988
5902.63218974,5307.090272132
5903.632455871,5307.090437664
5904.63282537,5307.090707991
5905.633056625,5307.090845296
5906.633114878,5307.090795118
5907.633967409,5307.091520218
5908.632776614,5307.090220919
5909.632921656,5307.090269882
5910.633165547,5307.090420917
5911.633409196,5307.09056508
5912.636654671,5307.093696976999
5913.633361651,5307.090299602
5914.633478848,5307.090321554
5915.63356995,5307.090312838
5916.633688327,5307.0903323229995
5917.635355839,5307.0918369440005
5918.633995354,5307.090347123
5919.634049502,5307.090272879001
5920.634202519,5307.0902554859995
5921.635371649,5307.091308577001
5922.634520972,5307.090294028
5923.634709019,5307.090366259
5924.63483936,5307.090383357
5925.63485831,5307.0901937319995
5926.635073388,5307.090294846
5927.635291723,5307.090407643
5928.635739945,5307.090668401
5929.63562996,5307.090434046
5930.635767047,5307.090383909999
5931.635852151,5307.090261644
